,name,address,city,rating,description,link,lon,lat
0,Hôtel Vert,"La Caserne, Le Mont-Saint-Michel",Mont Saint Michel,8.1,"Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...Lire plus…",https://www.booking.com/hotel/fr/vert.fr.html?,,
1,Mercure Mont Saint Michel,"La Caserne, Le Mont-Saint-Michel",Mont Saint Michel,8.2,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...Lire plus…",https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?,,
2,Le Relais Saint Michel,"La Caserne, Le Mont-Saint-Michel",Mont Saint Michel,7.8,Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Lire plus…,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?,,
3,Les Terrasses Poulard,"Grande Rue, Le Mont-Saint-Michel",Mont Saint Michel,7.3,"Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. Lire plus…",https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?,,
4,Hotel Gabriel,"Route du Mont Saint Michel, Le Mont-Saint-Michel",Mont Saint Michel,8.1,"L'Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel et à seulement 25 minutes à pied des remparts de la vieille ville. Lire plus…",https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?,,
5,La Mère Poulard,"Grande Rue, Le Mont-Saint-Michel",Mont Saint Michel,7.3,"Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. Lire plus…",https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?,,
6,Hotel De La Digue,"La Caserne, Le Mont-Saint-Michel",Mont Saint Michel,7.2,"L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. Lire plus…",https://www.booking.com/hotel/fr/de-la-digue.fr.html?,,
7,Le Mouton Blanc,"Grande Rue , Le Mont-Saint-Michel",Mont Saint Michel,7.2,"Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. Lire plus…",https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?,,
8,Le Saint Aubert,"La Caserne, Le Mont-Saint-Michel",Mont Saint Michel,7.4,"Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. Lire plus…",https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?,,
9,La Vieille Auberge,"Grande Rue, Le Mont-Saint-Michel",Mont Saint Michel,7.5,"La Vieille Auberge se trouve dans le village médiéval du Mont-Saint-Michel, à quelques pas de l’abbaye mondialement réputée. Lire plus…",https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?,,
