,city,temp,rain,lat,lon
0,Mont Saint Michel,22.75,0.125,48.62,-1.511
1,St Malo,20.88,0.125,48.66,-2.025
2,Bayeux,21.5,0.0,49.28,-0.7026
3,Le Havre,20.25,0.25,49.5,0.108
4,Rouen,23.0,0.25,49.44,1.094
5,Paris,23.5,0.125,48.84,2.352
6,Amiens,22.38,0.0,49.9,2.295
7,Lille,22.25,0.0,50.62,3.064
8,Strasbourg,22.75,0.0,48.6,7.75
9,Chateau du Haut Koenigsbourg,19.88,0.0,48.25,7.344
10,Colmar,22.88,0.0,48.06,7.36
11,Eguisheim,23.0,0.0,48.03,7.31
12,Besancon,23.12,0.0,47.25,6.023
13,Dijon,23.0,0.0,47.3,5.043
14,Annecy,22.62,0.0,45.9,6.13
15,Grenoble,25.75,0.0,45.2,5.734
16,Lyon,23.88,0.0,45.75,4.832
17,Gorges du Verdon,23.0,0.0,43.75,6.33
18,Bormes les Mimosas,25.25,0.0,43.16,6.344
19,Cassis,25.12,0.0,43.22,5.54
20,Marseille,25.25,0.0,43.28,5.37
21,Aix en Provence,27.0,0.0,43.53,5.45
22,Avignon,27.75,0.0,43.94,4.805
23,Uzes,26.38,0.0,44.0,4.418
24,Nimes,26.38,0.0,43.84,4.36
25,Aigues Mortes,23.88,0.0,43.56,4.19
26,Saintes Maries de la mer,23.5,0.0,43.44,4.43
27,Collioure,25.25,0.125,42.53,3.084
28,Carcassonne,25.0,0.125,43.22,2.35
29,Ariege,20.0,0.25,42.94,1.406
30,Toulouse,25.38,0.375,43.6,1.444
31,Montauban,25.75,0.375,44.03,1.355
32,Biarritz,23.62,0.25,43.47,-1.553
33,Bayonne,24.38,0.375,43.5,-1.476
34,La Rochelle,23.12,0.0,46.16,-1.152
